Loss,Accuracy
0.454852462,69.77966293
0.872344732,79.95195376
0.077246092,82.35426598
0.124241456,84.37183289
2.415817738,83.09935813
1.117148519,84.80349837
0.197794735,86.44195038
0.462483346,87.53237491
0.244027823,88.23242371
2.554581642,88.93810292
0.497658432,89.49176082
0.028228864,90.08858526
0.21107696,90.83743103
0.450825691,91.16399535
0.023723615,91.6181825
0.291163534,91.92973237
0.159238577,92.24691265
0.135700703,92.45711497
0.045201242,92.62039713
1.194292903,92.89628768
0.003400271,93.07083067
0.359991372,93.59821328
1.494872332,93.63011899
0.273948342,93.77275628
0.017463928,94.09556698
1.676247239,94.2757404
0.326585293,94.48969633
6.107397556,94.55350775
0.081034273,93.93040802
1.524537086,95.07150632
0.005480306,94.95889794
2.171565294,95.13907136
0.272323608,95.15033219
0.168730974,95.50504861
0.031301603,95.61578019
0.00064082,95.59888893
0.055444181,95.91794602
0.712982833,96.0568297
0.001144781,96.14316279
0.047013614,96.20509741
0.003081463,96.36462595
3.12682724,96.4659735
0.026790641,96.43219098
2.733066082,96.65740775
1.689684153,96.53353853
0.001773341,96.61424121
0.249255657,96.92391427
0.002820994,97.01775459
0.143022031,97.03089223
0.029825401,97.09095004
0.007076039,97.36121016
3.870217323,97.33868849
0.001273356,97.25047859
0.000147681,97.5188619
0.002524193,97.49258661
5.96E-08,97.52636913
0,97.69528171
0.193376303,97.59581097
2.894758463,97.77598438
0.010927849,97.28989152
0.030066371,97.65023835
0.007039445,97.81352051
3.67056632,97.88859277
0.009455045,97.91862167
0.01226162,97.85293345
0.06539508,97.97867948
0.053912576,97.90173042
1.681370616,98.11380954
0.007940093,97.94677377
1.542513251,98.20389625
7.75E-07,98.06501257
0.000349698,98.28647573
4.680751801,97.91111445
0.000280897,98.16636012
0.022553239,98.34090312
4.288079262,98.21515709
0.008218821,97.81727413
2.196245193,98.44788109
0.917509675,98.3653016
0.024407551,98.10442551
0.103934176,98.62430089
0.014042467,98.29773657
2.02E-05,98.55298225
3.82E-05,98.44225067
2.38E-07,98.55485905
0.005207154,98.54547502
0.000368102,98.56048947
2.661899567,98.55673586
0.121096425,98.29585977
1.79E-07,98.73503247
